Report generated on: 09-05-2022 12:09:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"INTL.65-13-AGO-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","7.3","7.7","7.9","8.2","8.3","8.3","4.9","8.4","8.3","8.1","8.3","8.4","4.6","4.6","0","0","0","0","7.2","7.7","7.2","0","0.3","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-AGO-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","7.3","8.2","8.3","8.2","8.1","8.2","8.2","8","8","7.8","7.9","8","0","0","0","0","0","0","0","0.3","0.0182465753424658","0","0","3.4","3.2","2.9","3.2","1.3","6.75123287671233",""
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ATA-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.5","1.3","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","0.9","1.5","1.5","1.1","1.5","1.5","0","0","0","0",""
"INTL.65-13-ATA-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.5","1.3","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","0.9","1.5","1.5","1.1","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ATA-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ATG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","1.2","0.7","0.7","0.7","0.7","0.8","0.7","0.8","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1","1","1","1","1.1","1.1","1.2","1.2","1.2","1.3","1.2","1.1","1.0541369863013703",""
"INTL.65-13-ATG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","1.2","0.7","0.7","0.7","0.7","0.8","0.7","0.8","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1","1","1","1","1","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ATG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0547397260273973","0.05473972602","0.05473972602","0.072986301369863","0.072986301369863","0.060213698630137","0.0600491803278688","0.0547397260273973","0.0547397260273973",""
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ARG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","8.2","12","11","14","13","7.6","9.4","13","11","6.1","11","13","13","14","9.7","11","11","11","10","13","14","33","35","28","36","40","47","52","47.7186301369863",""
"INTL.65-13-ARG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","4.3","5.2","5.1","6.4","5.4","4.6","5.3","9.1","6.7","2.5","4.2","5.6","6.1","5.7","4.5","4.6","4.6","3.8","4","3.5","3.4","4.5","4.8","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ARG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","3.9","6.4","5.5","7.9","7.2","3","4.1","3.6","4.7","3.6","6.8","7.5","7.3","8.3","5.2","6.3","6.5","7.4","6.4","9.7","11","12","13","13","18","22","28","29","25.6911780821918",""
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ARM-TBPD.A","        Refined petroleum products (Mb/d)","","","","","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","1.32166666666667","1.2601095890411","1.10802739726027","0.564876712328767","0.823333333333333","0.955945205479452","0.847315068493151","1.21665753424658","1.21333333333333","0.630054794520548","0.934219178082192","0.955945205479452","1.02112328767123","0.999397260273973","0.912493150684932","0.673506849315068"
"INTL.65-13-ARM-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.8","0.8","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ARM-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ABW-TBPD.A","        Refined petroleum products (Mb/d)","","","","","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6","1.6","1.6","1.7","1.7","1.7","1.8","1.7","1.7","2","1.982246575342463",""
"INTL.65-13-ABW-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6","1.6","1.6","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ABW-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.200712328767123",""
"","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-AUS-TBPD.A","        Refined petroleum products (Mb/d)","41","40","17","14","14","11","8.7","11","11","13","11","11","11","11","14","16","16","14","13","16","14","14","12","12","14","16","15","16","17","14","12","14","14","14","13.55293150684931",""
"INTL.65-13-AUS-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","2","2","1.6","3","2.2","2.6","2.6","1.9","2","2","2.3","2.9","2.6","2.7","1.8","2.3","2.1","1.5","1.3","1.2","0.9","1.2","1.2","1.5","1.3","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-AUS-TBPD.A","            Residual fuel oil (Mb/d)","30","30","14","12","12","9.1","7","7.7","8.6","11","8.8","8.7","8.7","9.3","12","14","13","11","12","14","12","12","11","11","13","15","14","15","16","12","11","13","13","13","12.5718904109589",""
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-AUT-TBPD.A","        Refined petroleum products (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.65-13-AUT-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA",""
