,regions,product,year,value
112,Central African Republic,            Distillate fuel oil (Mb/d),1980,
113,Central African Republic,            Residual fuel oil (Mb/d),1980,
114,Chad,        Refined petroleum products (Mb/d),1980,
115,Chad,            Distillate fuel oil (Mb/d),1980,
116,Chad,            Residual fuel oil (Mb/d),1980,
117,Chile,        Refined petroleum products (Mb/d),1980,2
118,Chile,            Distillate fuel oil (Mb/d),1980,
119,Chile,            Residual fuel oil (Mb/d),1980,1
120,China,        Refined petroleum products (Mb/d),1980,
121,China,            Distillate fuel oil (Mb/d),1980,
122,China,            Residual fuel oil (Mb/d),1980,
123,Colombia,        Refined petroleum products (Mb/d),1980,
124,Colombia,            Distillate fuel oil (Mb/d),1980,
125,Colombia,            Residual fuel oil (Mb/d),1980,
126,Comoros,        Refined petroleum products (Mb/d),1980,
127,Comoros,            Distillate fuel oil (Mb/d),1980,
128,Comoros,            Residual fuel oil (Mb/d),1980,
129,Congo-Brazzaville,        Refined petroleum products (Mb/d),1980,
130,Congo-Brazzaville,            Distillate fuel oil (Mb/d),1980,
131,Congo-Brazzaville,            Residual fuel oil (Mb/d),1980,
132,Congo-Kinshasa,        Refined petroleum products (Mb/d),1980,
133,Congo-Kinshasa,            Distillate fuel oil (Mb/d),1980,
134,Congo-Kinshasa,            Residual fuel oil (Mb/d),1980,
135,Cook Islands,        Refined petroleum products (Mb/d),1980,
136,Cook Islands,            Distillate fuel oil (Mb/d),1980,
137,Cook Islands,            Residual fuel oil (Mb/d),1980,
138,Costa Rica,        Refined petroleum products (Mb/d),1980,
139,Costa Rica,            Distillate fuel oil (Mb/d),1980,
140,Costa Rica,            Residual fuel oil (Mb/d),1980,
141,Croatia,        Refined petroleum products (Mb/d),1980,
142,Croatia,            Distillate fuel oil (Mb/d),1980,
143,Croatia,            Residual fuel oil (Mb/d),1980,
144,Cuba,        Refined petroleum products (Mb/d),1980,
145,Cuba,            Distillate fuel oil (Mb/d),1980,
146,Cuba,            Residual fuel oil (Mb/d),1980,
147,Cyprus,        Refined petroleum products (Mb/d),1980,
148,Cyprus,            Distillate fuel oil (Mb/d),1980,
149,Cyprus,            Residual fuel oil (Mb/d),1980,
150,Czech Republic,        Refined petroleum products (Mb/d),1980,
151,Czech Republic,            Distillate fuel oil (Mb/d),1980,
152,Czech Republic,            Residual fuel oil (Mb/d),1980,
153,Côte d’Ivoire,        Refined petroleum products (Mb/d),1980,
154,Côte d’Ivoire,            Distillate fuel oil (Mb/d),1980,
155,Côte d’Ivoire,            Residual fuel oil (Mb/d),1980,
156,Denmark,        Refined petroleum products (Mb/d),1980,20
157,Denmark,            Distillate fuel oil (Mb/d),1980,
158,Denmark,            Residual fuel oil (Mb/d),1980,5
159,Djibouti,        Refined petroleum products (Mb/d),1980,
