,regions,product,year,value
6472,Guam,            Distillate fuel oil (Mb/d),1989,1.4
6473,Guam,            Residual fuel oil (Mb/d),1989,0
6474,Guatemala,        Refined petroleum products (Mb/d),1989,2.8
6475,Guatemala,            Distillate fuel oil (Mb/d),1989,2.8
6476,Guatemala,            Residual fuel oil (Mb/d),1989,0
6477,Guinea,        Refined petroleum products (Mb/d),1989,0.3
6478,Guinea,            Distillate fuel oil (Mb/d),1989,0.3
6479,Guinea,            Residual fuel oil (Mb/d),1989,0
6480,Guinea-Bissau,        Refined petroleum products (Mb/d),1989,0.1
6481,Guinea-Bissau,            Distillate fuel oil (Mb/d),1989,0.1
6482,Guinea-Bissau,            Residual fuel oil (Mb/d),1989,0
6483,Guyana,        Refined petroleum products (Mb/d),1989,0.1
6484,Guyana,            Distillate fuel oil (Mb/d),1989,0.0869
6485,Guyana,            Residual fuel oil (Mb/d),1989,0.05473
6486,Haiti,        Refined petroleum products (Mb/d),1989,0.4
6487,Haiti,            Distillate fuel oil (Mb/d),1989,0.4
6488,Haiti,            Residual fuel oil (Mb/d),1989,0
6489,Hawaiian Trade Zone,        Refined petroleum products (Mb/d),1989,--
6490,Hawaiian Trade Zone,            Distillate fuel oil (Mb/d),1989,--
6491,Hawaiian Trade Zone,            Residual fuel oil (Mb/d),1989,--
6492,Honduras,        Refined petroleum products (Mb/d),1989,0
6493,Honduras,            Distillate fuel oil (Mb/d),1989,0
6494,Honduras,            Residual fuel oil (Mb/d),1989,0
6495,Hong Kong,        Refined petroleum products (Mb/d),1989,57
6496,Hong Kong,            Distillate fuel oil (Mb/d),1989,40
6497,Hong Kong,            Residual fuel oil (Mb/d),1989,17
6498,Hungary,        Refined petroleum products (Mb/d),1989,0
6499,Hungary,            Distillate fuel oil (Mb/d),1989,0
6500,Hungary,            Residual fuel oil (Mb/d),1989,0
6501,Iceland,        Refined petroleum products (Mb/d),1989,0
6502,Iceland,            Distillate fuel oil (Mb/d),1989,0
6503,Iceland,            Residual fuel oil (Mb/d),1989,0
6504,India,        Refined petroleum products (Mb/d),1989,19
6505,India,            Distillate fuel oil (Mb/d),1989,16
6506,India,            Residual fuel oil (Mb/d),1989,3.1
6507,Indonesia,        Refined petroleum products (Mb/d),1989,11
6508,Indonesia,            Distillate fuel oil (Mb/d),1989,7.2
6509,Indonesia,            Residual fuel oil (Mb/d),1989,3.7
6510,Iran,        Refined petroleum products (Mb/d),1989,27
6511,Iran,            Distillate fuel oil (Mb/d),1989,6.5
6512,Iran,            Residual fuel oil (Mb/d),1989,20
6513,Iraq,        Refined petroleum products (Mb/d),1989,3.8
6514,Iraq,            Distillate fuel oil (Mb/d),1989,0.1
6515,Iraq,            Residual fuel oil (Mb/d),1989,3.6
6516,Ireland,        Refined petroleum products (Mb/d),1989,0.4
6517,Ireland,            Distillate fuel oil (Mb/d),1989,0.2
6518,Ireland,            Residual fuel oil (Mb/d),1989,0.1
6519,Israel,        Refined petroleum products (Mb/d),1989,2.4
6520,Israel,            Distillate fuel oil (Mb/d),1989,2.5
6521,Israel,            Residual fuel oil (Mb/d),1989,1.6
6522,Italy,        Refined petroleum products (Mb/d),1989,55
6523,Italy,            Distillate fuel oil (Mb/d),1989,15
6524,Italy,            Residual fuel oil (Mb/d),1989,40
6525,Jamaica,        Refined petroleum products (Mb/d),1989,0.03295
6526,Jamaica,            Distillate fuel oil (Mb/d),1989,0.03295
6527,Jamaica,            Residual fuel oil (Mb/d),1989,0
6528,Japan,        Refined petroleum products (Mb/d),1989,93
6529,Japan,            Distillate fuel oil (Mb/d),1989,7.9
6530,Japan,            Residual fuel oil (Mb/d),1989,85
6531,Jordan,        Refined petroleum products (Mb/d),1989,4.3
6532,Jordan,            Distillate fuel oil (Mb/d),1989,4.1
6533,Jordan,            Residual fuel oil (Mb/d),1989,0.2
6534,Kazakhstan,        Refined petroleum products (Mb/d),1989,--
6535,Kazakhstan,            Distillate fuel oil (Mb/d),1989,--
6536,Kazakhstan,            Residual fuel oil (Mb/d),1989,--
6537,Kenya,        Refined petroleum products (Mb/d),1989,3
6538,Kenya,            Distillate fuel oil (Mb/d),1989,0.6
6539,Kenya,            Residual fuel oil (Mb/d),1989,2.4
6540,Kiribati,        Refined petroleum products (Mb/d),1989,0
6541,Kiribati,            Distillate fuel oil (Mb/d),1989,0
6542,Kiribati,            Residual fuel oil (Mb/d),1989,0
6543,Kosovo,        Refined petroleum products (Mb/d),1989,
6544,Kosovo,            Distillate fuel oil (Mb/d),1989,
6545,Kosovo,            Residual fuel oil (Mb/d),1989,
6546,Kuwait,        Refined petroleum products (Mb/d),1989,26
6547,Kuwait,            Distillate fuel oil (Mb/d),1989,12
6548,Kuwait,            Residual fuel oil (Mb/d),1989,15
6549,Kyrgyzstan,        Refined petroleum products (Mb/d),1989,--
6550,Kyrgyzstan,            Distillate fuel oil (Mb/d),1989,--
6551,Kyrgyzstan,            Residual fuel oil (Mb/d),1989,--
6552,Laos,        Refined petroleum products (Mb/d),1989,0
6553,Laos,            Distillate fuel oil (Mb/d),1989,0
6554,Laos,            Residual fuel oil (Mb/d),1989,0
6555,Latvia,        Refined petroleum products (Mb/d),1989,--
6556,Latvia,            Distillate fuel oil (Mb/d),1989,--
6557,Latvia,            Residual fuel oil (Mb/d),1989,--
6558,Lebanon,        Refined petroleum products (Mb/d),1989,2.1
6559,Lebanon,            Distillate fuel oil (Mb/d),1989,2
6560,Lebanon,            Residual fuel oil (Mb/d),1989,0.2
6561,Lesotho,        Refined petroleum products (Mb/d),1989,0
6562,Lesotho,            Distillate fuel oil (Mb/d),1989,0
6563,Lesotho,            Residual fuel oil (Mb/d),1989,0
6564,Liberia,        Refined petroleum products (Mb/d),1989,1.1
6565,Liberia,            Distillate fuel oil (Mb/d),1989,0.3
6566,Liberia,            Residual fuel oil (Mb/d),1989,0.9
6567,Libya,        Refined petroleum products (Mb/d),1989,5.6
6568,Libya,            Distillate fuel oil (Mb/d),1989,4.3
6569,Libya,            Residual fuel oil (Mb/d),1989,1.3
6570,Lithuania,        Refined petroleum products (Mb/d),1989,--
6571,Lithuania,            Distillate fuel oil (Mb/d),1989,--
6572,Lithuania,            Residual fuel oil (Mb/d),1989,--
6573,Luxembourg,        Refined petroleum products (Mb/d),1989,0
6574,Luxembourg,            Distillate fuel oil (Mb/d),1989,0
6575,Luxembourg,            Residual fuel oil (Mb/d),1989,0
6576,Macau,        Refined petroleum products (Mb/d),1989,0
6577,Macau,            Distillate fuel oil (Mb/d),1989,0
6578,Macau,            Residual fuel oil (Mb/d),1989,0
6579,Madagascar,        Refined petroleum products (Mb/d),1989,0.3
6580,Madagascar,            Distillate fuel oil (Mb/d),1989,0.08304
6581,Madagascar,            Residual fuel oil (Mb/d),1989,0.2
6582,Malawi,        Refined petroleum products (Mb/d),1989,0.2
6583,Malawi,            Distillate fuel oil (Mb/d),1989,0.2
6584,Malawi,            Residual fuel oil (Mb/d),1989,0
6585,Malaysia,        Refined petroleum products (Mb/d),1989,1.3
6586,Malaysia,            Distillate fuel oil (Mb/d),1989,0.4
6587,Malaysia,            Residual fuel oil (Mb/d),1989,0.9
6588,Maldives,        Refined petroleum products (Mb/d),1989,0
6589,Maldives,            Distillate fuel oil (Mb/d),1989,0
6590,Maldives,            Residual fuel oil (Mb/d),1989,0
6591,Mali,        Refined petroleum products (Mb/d),1989,0.3
6592,Mali,            Distillate fuel oil (Mb/d),1989,0.3
6593,Mali,            Residual fuel oil (Mb/d),1989,0
6594,Malta,        Refined petroleum products (Mb/d),1989,1.7
6595,Malta,            Distillate fuel oil (Mb/d),1989,1.5
6596,Malta,            Residual fuel oil (Mb/d),1989,0.2
6597,Martinique,        Refined petroleum products (Mb/d),1989,0.2
6598,Martinique,            Distillate fuel oil (Mb/d),1989,0
6599,Martinique,            Residual fuel oil (Mb/d),1989,0.2
6600,Mauritania,        Refined petroleum products (Mb/d),1989,0.4
6601,Mauritania,            Distillate fuel oil (Mb/d),1989,0.4
6602,Mauritania,            Residual fuel oil (Mb/d),1989,0
6603,Mauritius,        Refined petroleum products (Mb/d),1989,2.1
6604,Mauritius,            Distillate fuel oil (Mb/d),1989,1.7
6605,Mauritius,            Residual fuel oil (Mb/d),1989,0.4
6606,Mexico,        Refined petroleum products (Mb/d),1989,10
6607,Mexico,            Distillate fuel oil (Mb/d),1989,2.2
6608,Mexico,            Residual fuel oil (Mb/d),1989,8
6609,Micronesia,        Refined petroleum products (Mb/d),1989,
6610,Micronesia,            Distillate fuel oil (Mb/d),1989,
6611,Micronesia,            Residual fuel oil (Mb/d),1989,
6612,Moldova,        Refined petroleum products (Mb/d),1989,--
6613,Moldova,            Distillate fuel oil (Mb/d),1989,--
6614,Moldova,            Residual fuel oil (Mb/d),1989,--
6615,Mongolia,        Refined petroleum products (Mb/d),1989,0
6616,Mongolia,            Distillate fuel oil (Mb/d),1989,0
6617,Mongolia,            Residual fuel oil (Mb/d),1989,0
6618,Montenegro,        Refined petroleum products (Mb/d),1989,--
6619,Montenegro,            Distillate fuel oil (Mb/d),1989,
6620,Montenegro,            Residual fuel oil (Mb/d),1989,
6621,Montserrat,        Refined petroleum products (Mb/d),1989,0.02043
6622,Montserrat,            Distillate fuel oil (Mb/d),1989,0.02043
6623,Montserrat,            Residual fuel oil (Mb/d),1989,0
6624,Morocco,        Refined petroleum products (Mb/d),1989,1.4
6625,Morocco,            Distillate fuel oil (Mb/d),1989,1.3
6626,Morocco,            Residual fuel oil (Mb/d),1989,0.03649
6627,Mozambique,        Refined petroleum products (Mb/d),1989,0.8
6628,Mozambique,            Distillate fuel oil (Mb/d),1989,0.5
6629,Mozambique,            Residual fuel oil (Mb/d),1989,0.4
6630,Namibia,        Refined petroleum products (Mb/d),1989,--
6631,Namibia,            Distillate fuel oil (Mb/d),1989,--
6632,Namibia,            Residual fuel oil (Mb/d),1989,--
6633,Nauru,        Refined petroleum products (Mb/d),1989,0.1
6634,Nauru,            Distillate fuel oil (Mb/d),1989,0.1
6635,Nauru,            Residual fuel oil (Mb/d),1989,0
6636,Nepal,        Refined petroleum products (Mb/d),1989,0
6637,Nepal,            Distillate fuel oil (Mb/d),1989,0
6638,Nepal,            Residual fuel oil (Mb/d),1989,0
6639,Netherlands,        Refined petroleum products (Mb/d),1989,193
6640,Netherlands,            Distillate fuel oil (Mb/d),1989,44
6641,Netherlands,            Residual fuel oil (Mb/d),1989,149
6642,Netherlands Antilles,        Refined petroleum products (Mb/d),1989,30
6643,Netherlands Antilles,            Distillate fuel oil (Mb/d),1989,3.8
6644,Netherlands Antilles,            Residual fuel oil (Mb/d),1989,26
6645,New Caledonia,        Refined petroleum products (Mb/d),1989,0.5
6646,New Caledonia,            Distillate fuel oil (Mb/d),1989,0.4
6647,New Caledonia,            Residual fuel oil (Mb/d),1989,0.09123
6648,New Zealand,        Refined petroleum products (Mb/d),1989,4.5
6649,New Zealand,            Distillate fuel oil (Mb/d),1989,2.5
6650,New Zealand,            Residual fuel oil (Mb/d),1989,2
6651,Nicaragua,        Refined petroleum products (Mb/d),1989,0
6652,Nicaragua,            Distillate fuel oil (Mb/d),1989,0
6653,Nicaragua,            Residual fuel oil (Mb/d),1989,0
6654,Niger,        Refined petroleum products (Mb/d),1989,0.3
6655,Niger,            Distillate fuel oil (Mb/d),1989,0.3
6656,Niger,            Residual fuel oil (Mb/d),1989,0
6657,Nigeria,        Refined petroleum products (Mb/d),1989,15
6658,Nigeria,            Distillate fuel oil (Mb/d),1989,9.7
6659,Nigeria,            Residual fuel oil (Mb/d),1989,4.9
6660,Niue,        Refined petroleum products (Mb/d),1989,0
6661,Niue,            Distillate fuel oil (Mb/d),1989,0
6662,Niue,            Residual fuel oil (Mb/d),1989,0
6663,North Korea,        Refined petroleum products (Mb/d),1989,0
6664,North Korea,            Distillate fuel oil (Mb/d),1989,0
6665,North Korea,            Residual fuel oil (Mb/d),1989,0
6666,North Macedonia,        Refined petroleum products (Mb/d),1989,--
6667,North Macedonia,            Distillate fuel oil (Mb/d),1989,--
6668,North Macedonia,            Residual fuel oil (Mb/d),1989,--
6669,Northern Mariana Islands,        Refined petroleum products (Mb/d),1989,
6670,Northern Mariana Islands,            Distillate fuel oil (Mb/d),1989,
6671,Northern Mariana Islands,            Residual fuel oil (Mb/d),1989,
6672,Norway,        Refined petroleum products (Mb/d),1989,6.8
6673,Norway,            Distillate fuel oil (Mb/d),1989,3.2
6674,Norway,            Residual fuel oil (Mb/d),1989,3.6
6675,Oman,        Refined petroleum products (Mb/d),1989,7.2
6676,Oman,            Distillate fuel oil (Mb/d),1989,3
6677,Oman,            Residual fuel oil (Mb/d),1989,4.2
6678,Pakistan,        Refined petroleum products (Mb/d),1989,3
6679,Pakistan,            Distillate fuel oil (Mb/d),1989,2.8
6680,Pakistan,            Residual fuel oil (Mb/d),1989,0.2
6681,Palestinian Territories,        Refined petroleum products (Mb/d),1989,--
6682,Palestinian Territories,            Distillate fuel oil (Mb/d),1989,--
6683,Palestinian Territories,            Residual fuel oil (Mb/d),1989,--
6684,Panama,        Refined petroleum products (Mb/d),1989,5.2
6685,Panama,            Distillate fuel oil (Mb/d),1989,1
6686,Panama,            Residual fuel oil (Mb/d),1989,4.1
6687,Papua New Guinea,        Refined petroleum products (Mb/d),1989,0.6
6688,Papua New Guinea,            Distillate fuel oil (Mb/d),1989,0.6
6689,Papua New Guinea,            Residual fuel oil (Mb/d),1989,0
6690,Paraguay,        Refined petroleum products (Mb/d),1989,0.2
6691,Paraguay,            Distillate fuel oil (Mb/d),1989,0.2
6692,Paraguay,            Residual fuel oil (Mb/d),1989,0
6693,Peru,        Refined petroleum products (Mb/d),1989,0.5
6694,Peru,            Distillate fuel oil (Mb/d),1989,0.4
6695,Peru,            Residual fuel oil (Mb/d),1989,0.05492
6696,Philippines,        Refined petroleum products (Mb/d),1989,9.9
6697,Philippines,            Distillate fuel oil (Mb/d),1989,8.5
6698,Philippines,            Residual fuel oil (Mb/d),1989,1.4
6699,Poland,        Refined petroleum products (Mb/d),1989,15
6700,Poland,            Distillate fuel oil (Mb/d),1989,5.4
6701,Poland,            Residual fuel oil (Mb/d),1989,9.1
6702,Portugal,        Refined petroleum products (Mb/d),1989,5.8
6703,Portugal,            Distillate fuel oil (Mb/d),1989,1.7
6704,Portugal,            Residual fuel oil (Mb/d),1989,4.2
6705,Puerto Rico,        Refined petroleum products (Mb/d),1989,2
6706,Puerto Rico,            Distillate fuel oil (Mb/d),1989,1.1
6707,Puerto Rico,            Residual fuel oil (Mb/d),1989,0.9
6708,Qatar,        Refined petroleum products (Mb/d),1989,5.9
6709,Qatar,            Distillate fuel oil (Mb/d),1989,2.1
6710,Qatar,            Residual fuel oil (Mb/d),1989,3.8
6711,Reunion,        Refined petroleum products (Mb/d),1989,0.2
6712,Reunion,            Distillate fuel oil (Mb/d),1989,0.2
6713,Reunion,            Residual fuel oil (Mb/d),1989,0
6714,Romania,        Refined petroleum products (Mb/d),1989,0
6715,Romania,            Distillate fuel oil (Mb/d),1989,0
6716,Romania,            Residual fuel oil (Mb/d),1989,0
6717,Russia,        Refined petroleum products (Mb/d),1989,--
6718,Russia,            Distillate fuel oil (Mb/d),1989,--
6719,Russia,            Residual fuel oil (Mb/d),1989,--
6720,Rwanda,        Refined petroleum products (Mb/d),1989,0.2
6721,Rwanda,            Distillate fuel oil (Mb/d),1989,0.2
6722,Rwanda,            Residual fuel oil (Mb/d),1989,0
6723,Saint Helena,        Refined petroleum products (Mb/d),1989,0.02172
6724,Saint Helena,            Distillate fuel oil (Mb/d),1989,0.02172
6725,Saint Helena,            Residual fuel oil (Mb/d),1989,0
6726,Saint Kitts and Nevis,        Refined petroleum products (Mb/d),1989,0
6727,Saint Kitts and Nevis,            Distillate fuel oil (Mb/d),1989,0
6728,Saint Kitts and Nevis,            Residual fuel oil (Mb/d),1989,0
6729,Saint Lucia,        Refined petroleum products (Mb/d),1989,0
6730,Saint Lucia,            Distillate fuel oil (Mb/d),1989,0
6731,Saint Lucia,            Residual fuel oil (Mb/d),1989,0
6732,Saint Pierre and Miquelon,        Refined petroleum products (Mb/d),1989,1.1
6733,Saint Pierre and Miquelon,            Distillate fuel oil (Mb/d),1989,1.1
6734,Saint Pierre and Miquelon,            Residual fuel oil (Mb/d),1989,0
6735,Saint Vincent/Grenadines,        Refined petroleum products (Mb/d),1989,0
6736,Saint Vincent/Grenadines,            Distillate fuel oil (Mb/d),1989,0
6737,Saint Vincent/Grenadines,            Residual fuel oil (Mb/d),1989,0
6738,Samoa,        Refined petroleum products (Mb/d),1989,0
6739,Samoa,            Distillate fuel oil (Mb/d),1989,0
6740,Samoa,            Residual fuel oil (Mb/d),1989,0
6741,Sao Tome and Principe,        Refined petroleum products (Mb/d),1989,0
6742,Sao Tome and Principe,            Distillate fuel oil (Mb/d),1989,0
6743,Sao Tome and Principe,            Residual fuel oil (Mb/d),1989,0
6744,Saudi Arabia,        Refined petroleum products (Mb/d),1989,170
6745,Saudi Arabia,            Distillate fuel oil (Mb/d),1989,95
6746,Saudi Arabia,            Residual fuel oil (Mb/d),1989,75
6747,Senegal,        Refined petroleum products (Mb/d),1989,0.5
6748,Senegal,            Distillate fuel oil (Mb/d),1989,0.2
6749,Senegal,            Residual fuel oil (Mb/d),1989,0.3
6750,Serbia,        Refined petroleum products (Mb/d),1989,--
6751,Serbia,            Distillate fuel oil (Mb/d),1989,
6752,Serbia,            Residual fuel oil (Mb/d),1989,
6753,Seychelles,        Refined petroleum products (Mb/d),1989,0.00171
6754,Seychelles,            Distillate fuel oil (Mb/d),1989,0.00171
6755,Seychelles,            Residual fuel oil (Mb/d),1989,0
6756,Sierra Leone,        Refined petroleum products (Mb/d),1989,1.8
6757,Sierra Leone,            Distillate fuel oil (Mb/d),1989,1.5
6758,Sierra Leone,            Residual fuel oil (Mb/d),1989,0.3
6759,Singapore,        Refined petroleum products (Mb/d),1989,200
6760,Singapore,            Distillate fuel oil (Mb/d),1989,49
6761,Singapore,            Residual fuel oil (Mb/d),1989,151
6762,Slovakia,        Refined petroleum products (Mb/d),1989,--
6763,Slovakia,            Distillate fuel oil (Mb/d),1989,--
6764,Slovakia,            Residual fuel oil (Mb/d),1989,--
6765,Slovenia,        Refined petroleum products (Mb/d),1989,--
6766,Slovenia,            Distillate fuel oil (Mb/d),1989,--
6767,Slovenia,            Residual fuel oil (Mb/d),1989,--
6768,Solomon Islands,        Refined petroleum products (Mb/d),1989,0.04345
6769,Solomon Islands,            Distillate fuel oil (Mb/d),1989,0.04345
6770,Solomon Islands,            Residual fuel oil (Mb/d),1989,0
6771,Somalia,        Refined petroleum products (Mb/d),1989,0.9
6772,Somalia,            Distillate fuel oil (Mb/d),1989,0.9
6773,Somalia,            Residual fuel oil (Mb/d),1989,0
6774,South Africa,        Refined petroleum products (Mb/d),1989,61
6775,South Africa,            Distillate fuel oil (Mb/d),1989,19
6776,South Africa,            Residual fuel oil (Mb/d),1989,42
6777,South Korea,        Refined petroleum products (Mb/d),1989,35
6778,South Korea,            Distillate fuel oil (Mb/d),1989,5.8
6779,South Korea,            Residual fuel oil (Mb/d),1989,29
6780,South Sudan,        Refined petroleum products (Mb/d),1989,--
6781,South Sudan,            Distillate fuel oil (Mb/d),1989,--
6782,South Sudan,            Residual fuel oil (Mb/d),1989,--
6783,Spain,        Refined petroleum products (Mb/d),1989,59
6784,Spain,            Distillate fuel oil (Mb/d),1989,21
6785,Spain,            Residual fuel oil (Mb/d),1989,38
6786,Sri Lanka,        Refined petroleum products (Mb/d),1989,6.9
6787,Sri Lanka,            Distillate fuel oil (Mb/d),1989,2
6788,Sri Lanka,            Residual fuel oil (Mb/d),1989,4.9
6789,Sudan,        Refined petroleum products (Mb/d),1989,0.7
6790,Sudan,            Distillate fuel oil (Mb/d),1989,0.7
6791,Sudan,            Residual fuel oil (Mb/d),1989,0
6792,Suriname,        Refined petroleum products (Mb/d),1989,0.1
6793,Suriname,            Distillate fuel oil (Mb/d),1989,0.1
6794,Suriname,            Residual fuel oil (Mb/d),1989,0
6795,Sweden,        Refined petroleum products (Mb/d),1989,13
6796,Sweden,            Distillate fuel oil (Mb/d),1989,3.9
6797,Sweden,            Residual fuel oil (Mb/d),1989,9
6798,Switzerland,        Refined petroleum products (Mb/d),1989,0.4
6799,Switzerland,            Distillate fuel oil (Mb/d),1989,0.4
6800,Switzerland,            Residual fuel oil (Mb/d),1989,0
6801,Syria,        Refined petroleum products (Mb/d),1989,10
6802,Syria,            Distillate fuel oil (Mb/d),1989,10
6803,Syria,            Residual fuel oil (Mb/d),1989,0
6804,Taiwan,        Refined petroleum products (Mb/d),1989,30
6805,Taiwan,            Distillate fuel oil (Mb/d),1989,2.4
6806,Taiwan,            Residual fuel oil (Mb/d),1989,28
6807,Tajikistan,        Refined petroleum products (Mb/d),1989,--
6808,Tajikistan,            Distillate fuel oil (Mb/d),1989,--
6809,Tajikistan,            Residual fuel oil (Mb/d),1989,--
6810,Tanzania,        Refined petroleum products (Mb/d),1989,4.7
6811,Tanzania,            Distillate fuel oil (Mb/d),1989,4.7
6812,Tanzania,            Residual fuel oil (Mb/d),1989,0
6813,Thailand,        Refined petroleum products (Mb/d),1989,41
6814,Thailand,            Distillate fuel oil (Mb/d),1989,36
6815,Thailand,            Residual fuel oil (Mb/d),1989,5.1
6816,The Bahamas,        Refined petroleum products (Mb/d),1989,3.7
6817,The Bahamas,            Distillate fuel oil (Mb/d),1989,0.9
6818,The Bahamas,            Residual fuel oil (Mb/d),1989,2.8
6819,Timor-Leste,        Refined petroleum products (Mb/d),1989,--
6820,Timor-Leste,            Distillate fuel oil (Mb/d),1989,
6821,Timor-Leste,            Residual fuel oil (Mb/d),1989,
6822,Togo,        Refined petroleum products (Mb/d),1989,0
6823,Togo,            Distillate fuel oil (Mb/d),1989,0
6824,Togo,            Residual fuel oil (Mb/d),1989,0
6825,Tonga,        Refined petroleum products (Mb/d),1989,0.0869
6826,Tonga,            Distillate fuel oil (Mb/d),1989,0.0869
6827,Tonga,            Residual fuel oil (Mb/d),1989,0
6828,Trinidad and Tobago,        Refined petroleum products (Mb/d),1989,0.8
6829,Trinidad and Tobago,            Distillate fuel oil (Mb/d),1989,0.2
6830,Trinidad and Tobago,            Residual fuel oil (Mb/d),1989,0.6
6831,Tunisia,        Refined petroleum products (Mb/d),1989,2.2
6832,Tunisia,            Distillate fuel oil (Mb/d),1989,2.2
6833,Tunisia,            Residual fuel oil (Mb/d),1989,0
6834,Turkey,        Refined petroleum products (Mb/d),1989,3.3
6835,Turkey,            Distillate fuel oil (Mb/d),1989,1.9
6836,Turkey,            Residual fuel oil (Mb/d),1989,1.3
6837,Turkmenistan,        Refined petroleum products (Mb/d),1989,--
6838,Turkmenistan,            Distillate fuel oil (Mb/d),1989,--
6839,Turkmenistan,            Residual fuel oil (Mb/d),1989,--
6840,Turks and Caicos Islands,        Refined petroleum products (Mb/d),1989,0
6841,Turks and Caicos Islands,            Distillate fuel oil (Mb/d),1989,0
6842,Turks and Caicos Islands,            Residual fuel oil (Mb/d),1989,0
6843,Tuvalu,        Refined petroleum products (Mb/d),1989,
6844,Tuvalu,            Distillate fuel oil (Mb/d),1989,
6845,Tuvalu,            Residual fuel oil (Mb/d),1989,
6846,U.S. Pacific Islands,        Refined petroleum products (Mb/d),1989,0.3
6847,U.S. Pacific Islands,            Distillate fuel oil (Mb/d),1989,0.3
6848,U.S. Pacific Islands,            Residual fuel oil (Mb/d),1989,0
6849,U.S. Territories,        Refined petroleum products (Mb/d),1989,
6850,U.S. Territories,            Distillate fuel oil (Mb/d),1989,
6851,U.S. Territories,            Residual fuel oil (Mb/d),1989,
6852,U.S. Virgin Islands,        Refined petroleum products (Mb/d),1989,2.9
6853,U.S. Virgin Islands,            Distillate fuel oil (Mb/d),1989,1.9
6854,U.S. Virgin Islands,            Residual fuel oil (Mb/d),1989,1
6855,Uganda,        Refined petroleum products (Mb/d),1989,0
6856,Uganda,            Distillate fuel oil (Mb/d),1989,0
6857,Uganda,            Residual fuel oil (Mb/d),1989,0
6858,Ukraine,        Refined petroleum products (Mb/d),1989,--
6859,Ukraine,            Distillate fuel oil (Mb/d),1989,--
6860,Ukraine,            Residual fuel oil (Mb/d),1989,--
6861,United Arab Emirates,        Refined petroleum products (Mb/d),1989,131
6862,United Arab Emirates,            Distillate fuel oil (Mb/d),1989,14
6863,United Arab Emirates,            Residual fuel oil (Mb/d),1989,117
6864,United Kingdom,        Refined petroleum products (Mb/d),1989,46
6865,United Kingdom,            Distillate fuel oil (Mb/d),1989,25
6866,United Kingdom,            Residual fuel oil (Mb/d),1989,21
6867,United States,        Refined petroleum products (Mb/d),1989,619
6868,United States,            Distillate fuel oil (Mb/d),1989,298
6869,United States,            Residual fuel oil (Mb/d),1989,321
6870,Uruguay,        Refined petroleum products (Mb/d),1989,3
6871,Uruguay,            Distillate fuel oil (Mb/d),1989,2.4
6872,Uruguay,            Residual fuel oil (Mb/d),1989,0.6
6873,Uzbekistan,        Refined petroleum products (Mb/d),1989,--
6874,Uzbekistan,            Distillate fuel oil (Mb/d),1989,--
6875,Uzbekistan,            Residual fuel oil (Mb/d),1989,--
6876,Vanuatu,        Refined petroleum products (Mb/d),1989,0.3
6877,Vanuatu,            Distillate fuel oil (Mb/d),1989,0
6878,Vanuatu,            Residual fuel oil (Mb/d),1989,0.3
6879,Venezuela,        Refined petroleum products (Mb/d),1989,21
6880,Venezuela,            Distillate fuel oil (Mb/d),1989,8.5
6881,Venezuela,            Residual fuel oil (Mb/d),1989,12
6882,Vietnam,        Refined petroleum products (Mb/d),1989,0
6883,Vietnam,            Distillate fuel oil (Mb/d),1989,0
6884,Vietnam,            Residual fuel oil (Mb/d),1989,0
6885,Wake Island,        Refined petroleum products (Mb/d),1989,8.2
6886,Wake Island,            Distillate fuel oil (Mb/d),1989,8.2
6887,Wake Island,            Residual fuel oil (Mb/d),1989,0
6888,Western Sahara,        Refined petroleum products (Mb/d),1989,0.09221
6889,Western Sahara,            Distillate fuel oil (Mb/d),1989,0.09221
6890,Western Sahara,            Residual fuel oil (Mb/d),1989,0
6891,Yemen,        Refined petroleum products (Mb/d),1989,6.2
6892,Yemen,            Distillate fuel oil (Mb/d),1989,2.6
6893,Yemen,            Residual fuel oil (Mb/d),1989,3.6
6894,Zambia,        Refined petroleum products (Mb/d),1989,0.8
6895,Zambia,            Distillate fuel oil (Mb/d),1989,0.8
6896,Zambia,            Residual fuel oil (Mb/d),1989,0
6897,Zimbabwe,        Refined petroleum products (Mb/d),1989,1.8
6898,Zimbabwe,            Distillate fuel oil (Mb/d),1989,1.8
6899,Zimbabwe,            Residual fuel oil (Mb/d),1989,0
6900,Afghanistan,        Refined petroleum products (Mb/d),1990,0.2
6901,Afghanistan,            Distillate fuel oil (Mb/d),1990,0.2
6902,Afghanistan,            Residual fuel oil (Mb/d),1990,0
6903,Albania,        Refined petroleum products (Mb/d),1990,0
6904,Albania,            Distillate fuel oil (Mb/d),1990,0
6905,Albania,            Residual fuel oil (Mb/d),1990,0
6906,Algeria,        Refined petroleum products (Mb/d),1990,6.8
6907,Algeria,            Distillate fuel oil (Mb/d),1990,5
6908,Algeria,            Residual fuel oil (Mb/d),1990,1.8
6909,American Samoa,        Refined petroleum products (Mb/d),1990,1.8
6910,American Samoa,            Distillate fuel oil (Mb/d),1990,1.8
6911,American Samoa,            Residual fuel oil (Mb/d),1990,0
6912,Angola,        Refined petroleum products (Mb/d),1990,16
6913,Angola,            Distillate fuel oil (Mb/d),1990,8.3
6914,Angola,            Residual fuel oil (Mb/d),1990,8.1
6915,Antarctica,        Refined petroleum products (Mb/d),1990,1.3
6916,Antarctica,            Distillate fuel oil (Mb/d),1990,1.3
6917,Antarctica,            Residual fuel oil (Mb/d),1990,0
