API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antarctica,            Distillate fuel oil (Mb/d),,,,,,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,0.9,1.5,1.5,1.1,,,,,,,
Antarctica,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,        Refined petroleum products (Mb/d),,,,,,,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1.05413698630137,
Antigua and Barbuda,            Distillate fuel oil (Mb/d),,,,,,,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,0,0,,,,,,,
Antigua and Barbuda,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547397260273973,0.05473972602,0.05473972602,0.072986301369863,0.072986301369863,0.060213698630137,0.0600491803278688,0.0547397260273973,0.0547397260273973,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,        Refined petroleum products (Mb/d),,,,,,,8.2,12,11,14,13,7.6,9.4,13,11,6.1,11,13,13,14,9.7,11,11,11,10,13,14,33,35,28,36,40,47,52,47.7186301369863,
Argentina,            Distillate fuel oil (Mb/d),,,,,,,4.3,5.2,5.1,6.4,5.4,4.6,5.3,9.1,6.7,2.5,4.2,5.6,6.1,5.7,4.5,4.6,4.6,3.8,4,3.5,3.4,4.5,4.8,,,,,,,
Argentina,            Residual fuel oil (Mb/d),,,,,,,3.9,6.4,5.5,7.9,7.2,3,4.1,3.6,4.7,3.6,6.8,7.5,7.3,8.3,5.2,6.3,6.5,7.4,6.4,9.7,11,12,13,13,18,22,28,29,25.6911780821918,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,        Refined petroleum products (Mb/d),,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,1.32166666666667,1.2601095890411,1.10802739726027,0.564876712328767,0.823333333333333,0.955945205479452,0.847315068493151,1.21665753424658,1.21333333333333,0.630054794520548,0.934219178082192,0.955945205479452,1.02112328767123,0.999397260273973,0.912493150684932,0.673506849315068
Armenia,            Distillate fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0,0,,,,,,,
